loan_id,balance_date,outstanding_principal,overdue_amount,dpd
L001,2025-01-01,11237.00,84.00,7
L001,2025-01-02,11230.00,96.00,8
L001,2025-01-03,11223.00,108.00,9
L001,2025-01-04,11216.00,120.00,10
L001,2025-01-05,11209.00,132.00,11
L001,2025-01-06,11202.00,144.00,12
L001,2025-01-07,11195.00,156.00,13
L001,2025-01-08,11188.00,168.00,14
L001,2025-01-09,11181.00,180.00,15
L001,2025-01-10,11174.00,192.00,16
L001,2025-01-11,11167.00,204.00,17
L001,2025-01-12,11160.00,216.00,18
L001,2025-01-13,11153.00,228.00,19
L001,2025-01-14,11146.00,240.00,20
L001,2025-01-15,11139.00,252.00,21
L001,2025-01-16,11132.00,264.00,22
L001,2025-01-17,11125.00,276.00,23
L001,2025-01-18,11118.00,288.00,24
L001,2025-01-19,11111.00,300.00,25
L001,2025-01-20,11104.00,312.00,26
L001,2025-01-21,11097.00,324.00,27
L001,2025-01-22,11090.00,336.00,28
L001,2025-01-23,11083.00,348.00,29
L001,2025-01-24,11076.00,360.00,30
L001,2025-01-25,11069.00,372.00,31
L001,2025-01-26,11062.00,384.00,32
L001,2025-01-27,11055.00,396.00,33
L001,2025-01-28,11048.00,408.00,34
L001,2025-01-29,11041.00,420.00,35
L001,2025-01-30,11034.00,432.00,36
L001,2025-01-31,11027.00,444.00,37
L001,2025-02-01,11020.00,456.00,38
L001,2025-02-02,11013.00,468.00,39
L001,2025-02-03,11006.00,480.00,40
L001,2025-02-04,10999.00,492.00,41
L001,2025-02-05,10992.00,504.00,42
L001,2025-02-06,10985.00,516.00,43
L001,2025-02-07,10978.00,528.00,44
L001,2025-02-08,10971.00,540.00,45
L001,2025-02-09,10964.00,552.00,46
L001,2025-02-10,10957.00,564.00,47
L001,2025-02-11,10950.00,576.00,48
L001,2025-02-12,10943.00,588.00,49
L001,2025-02-13,10936.00,600.00,50
L001,2025-02-14,10929.00,612.00,51
L001,2025-02-15,10922.00,624.00,52
L001,2025-02-16,10915.00,636.00,53
L001,2025-02-17,10908.00,648.00,54
L001,2025-02-18,10901.00,660.00,55
L001,2025-02-19,10894.00,672.00,56
L001,2025-02-20,10887.00,684.00,57
L001,2025-02-21,10880.00,696.00,58
L001,2025-02-22,10873.00,708.00,59
L001,2025-02-23,10866.00,720.00,60
L001,2025-02-24,10859.00,732.00,61
L001,2025-02-25,10852.00,744.00,62
L001,2025-02-26,10845.00,756.00,63
L001,2025-02-27,10838.00,768.00,64
L001,2025-02-28,10831.00,780.00,65
L002,2025-01-01,12474.00,168.00,14
L002,2025-01-02,12467.00,180.00,15
L002,2025-01-03,12460.00,192.00,16
L002,2025-01-04,12453.00,204.00,17
L002,2025-01-05,12446.00,216.00,18
L002,2025-01-06,12439.00,228.00,19
L002,2025-01-07,12432.00,240.00,20
L002,2025-01-08,12425.00,252.00,21
L002,2025-01-09,12418.00,264.00,22
L002,2025-01-10,12411.00,276.00,23
L002,2025-01-11,12404.00,288.00,24
L002,2025-01-12,12397.00,300.00,25
L002,2025-01-13,12390.00,312.00,26
L002,2025-01-14,12383.00,324.00,27
L002,2025-01-15,12376.00,336.00,28
L003,2025-01-10,13648.00,360.00,30
L003,2025-01-11,13641.00,372.00,31
L003,2025-01-12,13634.00,384.00,32
L003,2025-01-13,13627.00,396.00,33
L003,2025-01-14,13620.00,408.00,34
L003,2025-01-15,13613.00,420.00,35
L003,2025-01-16,13606.00,432.00,36
L003,2025-01-17,13599.00,444.00,37
L003,2025-01-18,13592.00,456.00,38
L003,2025-01-19,13585.00,468.00,39
L003,2025-01-20,13578.00,480.00,40
L003,2025-01-21,13571.00,492.00,41
L003,2025-01-22,13564.00,504.00,42
L003,2025-01-23,13557.00,516.00,43
L003,2025-01-24,13550.00,528.00,44
L003,2025-01-25,13543.00,540.00,45
L003,2025-01-26,13536.00,552.00,46
L003,2025-01-27,13529.00,564.00,47
L003,2025-01-28,13522.00,576.00,48
L003,2025-01-29,13515.00,588.00,49
L003,2025-01-30,13508.00,600.00,50
L003,2025-01-31,13501.00,612.00,51
L003,2025-02-01,13494.00,624.00,52
L003,2025-02-02,13487.00,636.00,53
L003,2025-02-03,13480.00,648.00,54
L003,2025-02-04,13473.00,660.00,55
L003,2025-02-05,13466.00,672.00,56
L003,2025-02-06,13459.00,684.00,57
L003,2025-02-07,13452.00,696.00,58
L003,2025-02-08,13445.00,708.00,59
L003,2025-02-09,13438.00,720.00,60
L003,2025-02-10,13431.00,732.00,61
L003,2025-02-11,13424.00,744.00,62
L003,2025-02-12,13417.00,756.00,63
L003,2025-02-13,13410.00,768.00,64
L003,2025-02-14,13403.00,780.00,65
L003,2025-02-15,13396.00,792.00,66
L003,2025-02-16,13389.00,804.00,67
L003,2025-02-17,13382.00,816.00,68
L003,2025-02-18,13375.00,828.00,69
L003,2025-02-19,13368.00,840.00,70
L003,2025-02-20,13361.00,852.00,71
L003,2025-02-21,13354.00,864.00,72
L003,2025-02-22,13347.00,876.00,73
L003,2025-02-23,13340.00,888.00,74
L003,2025-02-24,13333.00,900.00,75
L003,2025-02-25,13326.00,912.00,76
L003,2025-02-26,13319.00,924.00,77
L003,2025-02-27,13312.00,936.00,78
L003,2025-02-28,13305.00,948.00,79
L004,2025-02-10,14668.00,816.00,68
L004,2025-02-11,14661.00,828.00,69
L004,2025-02-12,14654.00,840.00,70
L004,2025-02-13,14647.00,852.00,71
L004,2025-02-14,14640.00,864.00,72
L004,2025-02-15,14633.00,876.00,73
L004,2025-02-16,14626.00,888.00,74
L004,2025-02-17,14619.00,900.00,75
L004,2025-02-18,14612.00,912.00,76
L004,2025-02-19,14605.00,924.00,77
L004,2025-02-20,14598.00,936.00,78
L004,2025-02-21,14591.00,948.00,79
L004,2025-02-22,14584.00,960.00,80
L004,2025-02-23,14577.00,972.00,81
L004,2025-02-24,14570.00,984.00,82
L004,2025-02-25,14563.00,996.00,83
L004,2025-02-26,14556.00,1008.00,84
L004,2025-02-27,14549.00,1020.00,85
L004,2025-02-28,14542.00,1032.00,86
L005,2025-01-01,16185.00,420.00,35
L005,2025-01-02,16178.00,432.00,36
L005,2025-01-03,16171.00,444.00,37
L005,2025-01-04,16164.00,456.00,38
L005,2025-01-05,16157.00,468.00,39
L005,2025-01-06,16150.00,480.00,40
L005,2025-01-07,16143.00,492.00,41
L005,2025-01-08,16136.00,504.00,42
L005,2025-01-09,16129.00,516.00,43
L005,2025-01-10,16122.00,528.00,44
L005,2025-01-11,16115.00,540.00,45
L005,2025-01-12,16108.00,552.00,46
L005,2025-01-13,16101.00,564.00,47
L005,2025-01-14,16094.00,576.00,48
L005,2025-01-15,16087.00,588.00,49
L005,2025-01-16,16080.00,600.00,50
L005,2025-01-17,16073.00,612.00,51
L005,2025-01-18,16066.00,624.00,52
L005,2025-01-19,16059.00,636.00,53
L005,2025-01-20,16052.00,648.00,54
L005,2025-01-21,16045.00,660.00,55
L005,2025-01-22,16038.00,672.00,56
L005,2025-01-23,16031.00,684.00,57
L005,2025-01-24,16024.00,696.00,58
L005,2025-01-25,16017.00,708.00,59
L005,2025-01-26,16010.00,720.00,60
L005,2025-01-27,16003.00,732.00,61
L005,2025-01-28,15996.00,744.00,62
L005,2025-01-29,15989.00,756.00,63
L005,2025-01-30,15982.00,768.00,64
L005,2025-01-31,15975.00,780.00,65
L005,2025-02-01,15968.00,792.00,66
L005,2025-02-02,15961.00,804.00,67
L005,2025-02-03,15954.00,816.00,68
L005,2025-02-04,15947.00,828.00,69
L005,2025-02-05,15940.00,840.00,70
L005,2025-02-06,15933.00,852.00,71
L005,2025-02-07,15926.00,864.00,72
L005,2025-02-08,15919.00,876.00,73
L005,2025-02-09,15912.00,888.00,74
L005,2025-02-10,15905.00,900.00,75
L005,2025-02-11,15898.00,912.00,76
L005,2025-02-12,15891.00,924.00,77
L005,2025-02-13,15884.00,936.00,78
L005,2025-02-14,15877.00,948.00,79
L005,2025-02-15,15870.00,960.00,80
L005,2025-02-16,15863.00,972.00,81
L005,2025-02-17,15856.00,984.00,82
L005,2025-02-18,15849.00,996.00,83
L005,2025-02-19,15842.00,1008.00,84
L005,2025-02-20,15835.00,1020.00,85
L005,2025-02-21,15828.00,1032.00,86
L005,2025-02-22,15821.00,1044.00,87
L005,2025-02-23,15814.00,1056.00,88
L005,2025-02-24,15807.00,1068.00,89
L005,2025-02-25,15800.00,1080.00,90
L005,2025-02-26,15793.00,1092.00,91
L005,2025-02-27,15786.00,1104.00,92
L005,2025-02-28,15779.00,1116.00,93
L007,2025-01-01,18659.00,588.00,49
L007,2025-01-02,18652.00,600.00,50
L007,2025-01-03,18645.00,612.00,51
L007,2025-01-04,18638.00,624.00,52
L007,2025-01-05,18631.00,636.00,53
L007,2025-01-06,18624.00,648.00,54
L007,2025-01-07,18617.00,660.00,55
L007,2025-01-08,18610.00,672.00,56
L007,2025-01-09,18603.00,684.00,57
L007,2025-01-10,18596.00,696.00,58
L007,2025-01-11,18589.00,708.00,59
L007,2025-01-12,18582.00,720.00,60
L007,2025-01-13,18575.00,732.00,61
L007,2025-01-14,18568.00,744.00,62
L007,2025-01-15,18561.00,756.00,63
L007,2025-01-16,18554.00,768.00,64
L007,2025-01-17,18547.00,780.00,65
L007,2025-01-18,18540.00,792.00,66
L007,2025-01-19,18533.00,804.00,67
L007,2025-01-20,18526.00,816.00,68
L007,2025-01-21,18519.00,828.00,69
L007,2025-01-22,18512.00,840.00,70
L007,2025-01-23,18505.00,852.00,71
L007,2025-01-24,18498.00,864.00,72
L007,2025-01-25,18491.00,876.00,73
L007,2025-01-26,18484.00,888.00,74
L007,2025-01-27,18477.00,900.00,75
L007,2025-01-28,18470.00,912.00,76
L007,2025-01-29,18463.00,924.00,77
L007,2025-01-30,18456.00,936.00,78
L007,2025-01-31,18449.00,948.00,79
L007,2025-02-01,18442.00,960.00,80
L007,2025-02-02,18435.00,972.00,81
L007,2025-02-03,18428.00,984.00,82
L007,2025-02-04,18421.00,996.00,83
L007,2025-02-05,18414.00,1008.00,84
L007,2025-02-06,18407.00,1020.00,85
L007,2025-02-07,18400.00,1032.00,86
L007,2025-02-08,18393.00,1044.00,87
L007,2025-02-09,18386.00,1056.00,88
L007,2025-02-10,18379.00,1068.00,89
L007,2025-02-11,18372.00,1080.00,90
L007,2025-02-12,18365.00,1092.00,91
L007,2025-02-13,18358.00,1104.00,92
L007,2025-02-14,18351.00,1116.00,93
L007,2025-02-15,18344.00,1128.00,94
L007,2025-02-16,18337.00,1140.00,95
L007,2025-02-17,18330.00,1152.00,96
L007,2025-02-18,18323.00,1164.00,97
L007,2025-02-19,18316.00,1176.00,98
L007,2025-02-20,18309.00,1188.00,99
L007,2025-02-21,18302.00,1200.00,100
L007,2025-02-22,18295.00,1212.00,101
L007,2025-02-23,18288.00,1224.00,102
L007,2025-02-24,18281.00,1236.00,103
L007,2025-02-25,18274.00,1248.00,104
L007,2025-02-26,18267.00,1260.00,105
L007,2025-02-27,18260.00,1272.00,106
L007,2025-02-28,18253.00,1284.00,107
L009,2025-01-01,21133.00,756.00,63
L009,2025-01-02,21126.00,768.00,64
L009,2025-01-03,21119.00,780.00,65
L009,2025-01-04,21112.00,792.00,66
L009,2025-01-05,21105.00,804.00,67
L009,2025-01-06,21098.00,816.00,68
L009,2025-01-07,21091.00,828.00,69
L009,2025-01-08,21084.00,840.00,70
L009,2025-01-09,21077.00,852.00,71
L009,2025-01-10,21070.00,864.00,72
L009,2025-01-11,21063.00,876.00,73
L009,2025-01-12,21056.00,888.00,74
L009,2025-01-13,21049.00,900.00,75
L009,2025-01-14,21042.00,912.00,76
L009,2025-01-15,21035.00,924.00,77
L009,2025-01-16,21028.00,936.00,78
L009,2025-01-17,21021.00,948.00,79
L009,2025-01-18,21014.00,960.00,80
L009,2025-01-19,21007.00,972.00,81
L009,2025-01-20,21000.00,984.00,82
L009,2025-01-21,20993.00,996.00,83
