loan_id,customer_id,branch_id,loan_product_id,loan_status,loan_start_date,loan_close_date
L001,C001,B001,P001,ACTIVE,2024-10-01,
L002,C002,B002,P002,CLOSED,2024-11-01,2025-01-15
L003,C003,B001,P003,ACTIVE,2025-01-10,
L004,C004,B003,P001,ACTIVE,2025-02-10,
L005,C005,B002,P002,CLOSED,2024-06-01,2025-02-28
L006,C006,B003,P003,CLOSED,2024-01-01,2024-12-31
L007,C007,B001,P001,ACTIVE,2024-07-01,
L008,C008,B002,P002,ACTIVE,2025-03-01,
L009,C009,B003,P003,CLOSED,2024-12-15,2025-02-10
L010,C010,B001,P002,ACTIVE,2025-01-31,
L011,C011,B002,P001,ACTIVE,2024-09-01,
L012,C012,B003,P003,ACTIVE,2025-02-28,
