loan_id,customer_id,country_code,branch_id,loan_product_id,reporting_month,outstanding_principal,overdue_amount,dpd,risk_bucket
L001,C001,IN,B001,P001,2025-01,11027.00,444.00,37,B
L003,C003,HK,B001,P003,2025-01,13501.00,612.00,51,B
L007,C007,IN,B001,P001,2025-01,18449.00,948.00,79,C
L010,C010,IN,B001,P002,2025-01,22160.00,1200.00,100,D
L011,C011,SG,B002,P001,2025-01,23397.00,1284.00,107,D
L001,C001,IN,B001,P001,2025-02,10831.00,780.00,65,C
L003,C003,HK,B001,P003,2025-02,13305.00,948.00,79,C
L004,C004,IN,B003,P001,2025-02,14542.00,1032.00,86,C
L007,C007,IN,B001,P001,2025-02,18253.00,1284.00,107,D
L010,C010,IN,B001,P002,2025-02,21964.00,84.00,7,A
L011,C011,SG,B002,P001,2025-02,23201.00,168.00,14,A
L012,C012,HK,B003,P003,2025-02,24438.00,252.00,21,A
